id,ACTION
1,0.9421098908087032
2,0.942109890808758
3,0.9421098908087915
4,0.9421098908087523
5,0.9421098908087928
6,0.9421098908087895
7,0.94210989080878
8,0.9421098908087981
9,0.9421098908087104
10,0.9421098908087641
11,0.9421098908087704
12,0.9421098908087426
13,0.9421098908087432
14,0.9421098908087174
15,0.9421098908087594
16,0.9421098908087651
17,0.9421098908087385
18,0.9421098908087447
19,0.9421098908087673
20,0.9421098908087722
21,0.9421098908088095
22,0.9421098908087515
23,0.942109890808732
24,0.9421098908087505
25,0.9421098908087406
26,0.942109890808758
27,0.9421098908087515
28,0.9421098908087068
29,0.9421098908087719
30,0.9421098908087335
31,0.9421098908087552
32,0.942109890808758
33,0.9421098908087648
34,0.9421098908087647
35,0.9421098908087503
36,0.9421098908087655
37,0.9421098908087564
38,0.9421098908087844
39,0.9421098908087414
40,0.9421098908087231
41,0.9421098908087351
42,0.9421098908087787
43,0.9421098908087676
44,0.9421098908087583
45,0.9421098908087583
46,0.9421098908087505
47,0.9421098908087981
48,0.9421098908087491
49,0.9421098908088005
50,0.9421098908087683
51,0.942109890808778
52,0.942109890808761
53,0.942109890808761
54,0.94210989080877094
55,0.9421098908087444
56,0.9421098908087225
57,0.9421098908087551
58,0.9421098908087976
59,0.9421098908087622
60,0.9421098908087663
61,0.9421098908087858
62,0.9421098908087633
63,0.9421098908087574
64,0.9421098908087759
65,0.9421098908087991
66,0.942109890808784
67,0.9421098908087467
68,0.9421098908087691
69,0.942109890808759
70,0.9421098908087182
71,0.9421098908087523
72,0.9421098908087684
73,0.9421098908087507
74,0.9421098908087765
75,0.9421098908087651
76,0.9421098908087795
77,0.9421098908087849
78,0.9421098908087503
79,0.9421098908087436
80,0.9421098908087973
81,0.9421098908087816
82,0.9421098908087724
83,0.9421098908087734
84,0.9421098908087777
85,0.9421098908087568
86,0.9421098908087269
87,0.9421098908087485
88,0.9421098908087864
89,0.9421098908087729
90,0.9421098908087452
91,0.9421098908087635
92,0.9421098908087482
93,0.9421098908088037
94,0.9421098908087424
95,0.9421098908087915
96,0.9421098908087442
97,0.942109890808734
98,0.942109890808763
99,0.9421098908087798
100,0.9421098908087773
101,0.9421098908087583
102,0.9421098908087161
103,0.9421098908087623
104,0.9421098908087389
105,0.9421098908087358
106,0.94210989080878
107,0.9421098908087859
108,0.9421098908087472
109,0.9421098908087661
110,0.9421098908087631
111,0.942109890808743
112,0.9421098908087543
113,0.9421098908087674
